n,elapsed_time (ms)
0,0
1000,1
2000,1
3000,2
4000,2
5000,3
6000,3
7000,3
8000,4
9000,3
10000,3
11000,4
12000,4
13000,4
14000,4
15000,5
16000,5
17000,5
18000,6
19000,6
20000,6
21000,7
22000,7
23000,8
24000,8
25000,9
26000,10
27000,9
28000,10
29000,10
30000,11
31000,11
32000,9
33000,11
34000,12
35000,13
36000,13
37000,13
38000,14
39000,14
40000,14
41000,15
42000,15
43000,16
44000,16
45000,17
46000,17
47000,18
48000,18
49000,18
50000,19
51000,19
52000,20
53000,20
54000,21
55000,21
56000,22
57000,22
58000,22
59000,23
60000,24
61000,24
62000,25
63000,25
64000,20
65000,24
66000,26
67000,26
68000,27
69000,32
70000,31
71000,30
72000,31
73000,31
74000,33
75000,33
76000,33
77000,33
78000,34
79000,34
80000,35
81000,36
82000,37
83000,37
84000,38
85000,38
86000,39
87000,39
88000,40
89000,41
90000,41
91000,43
92000,43
93000,43
94000,44
95000,48
96000,48
97000,47
98000,49
99000,49
100000,50
101000,49
102000,50
103000,50
104000,50
105000,52
106000,52
107000,55
108000,54
109000,55
110000,55
111000,56
112000,57
113000,57
114000,58
115000,59
116000,62
117000,63
118000,62
119000,62
120000,63
121000,64
122000,65
123000,66
